,Cuestionario:Tema 1 - Parte Básica (Real),Cuestionario:Tema 2 - Parte Básica (Real),Cuestionario:Tema 3 - Parte Básica (Real),Cuestionario:Tema 1 - Parte Avanzada (Real),Cuestionario:Tema 2 - Parte Avanzada (Real),Cuestionario:Tema 3 - Parte Avanzada (Real),comision
104,-,-,-,-,-,-,datos_anonimizados
105,-,-,-,-,-,-,datos_anonimizados
106,3.0,2.8,3.0,3.25,3.25,4.0,datos_anonimizados
107,-,-,-,-,-,-,datos_anonimizados
108,1.0,0.0,0.0,-,-,-,datos_anonimizados
109,1.0,2.0,2.5,-,-,-,datos_anonimizados
110,1.5,-,-,-,-,-,datos_anonimizados
111,-,-,-,-,-,-,datos_anonimizados
112,-,-,-,-,-,-,datos_anonimizados
113,1.0,0.0,0.33,-,-,-,datos_anonimizados
114,0.0,0.0,0.17,-,-,-,datos_anonimizados
115,1.0,1.0,1.5,-,-,-,datos_anonimizados
116,3.0,3.0,3.0,3.0,2.0,3.0,datos_anonimizados
117,-,-,-,-,-,-,datos_anonimizados
118,0.0,1.6,3.0,-,-,3.0,datos_anonimizados
119,-,-,-,-,-,-,datos_anonimizados
120,3.0,0.0,1.83,-,-,-,datos_anonimizados
121,3.0,2.0,1.0,0.75,0.75,-,datos_anonimizados
122,1.5,3.0,2.75,-,1.5,2.0,datos_anonimizados
123,2.5,1.0,2.0,3.5,-,4.0,datos_anonimizados
124,2.0,3.0,3.0,2.33,3.75,4.0,datos_anonimizados
125,1.75,1.0,1.0,-,-,-,datos_anonimizados
126,1.0,1.0,0.0,-,-,-,datos_anonimizados
127,3.0,1.0,3.0,1.0,-,3.0,datos_anonimizados
128,2.0,2.0,1.0,2.5,1.75,-,datos_anonimizados
129,2.0,2.0,1.0,3.0,3.0,-,datos_anonimizados
130,0.0,0.0,0.5,-,-,-,datos_anonimizados
131,1.0,1.0,1.0,-,-,-,datos_anonimizados
132,2.0,3.0,2.5,3.5,3.0,3.0,datos_anonimizados
133,0.0,0.0,2.0,-,-,1.0,datos_anonimizados
134,2.0,2.8,0.67,1.08,1.75,-,datos_anonimizados
135,0.0,0.6,0.83,-,-,-,datos_anonimizados
136,-,-,-,-,-,-,datos_anonimizados
137,1.0,2.0,1.5,-,0.0,-,datos_anonimizados
138,0.0,0.0,0.0,-,-,-,datos_anonimizados
